,Week,TV,radio,newspaper,sales
0,2020-01-05,230.1,37.8,69.2,22.1
1,2020-01-12,44.5,39.3,45.1,10.4
2,2020-01-19,17.2,45.9,69.3,9.3
3,2020-01-26,151.5,41.3,58.5,18.5
4,2020-02-02,180.8,10.8,58.4,12.9
5,2020-02-09,8.7,48.9,75.0,7.2
6,2020-02-16,57.5,32.8,23.5,11.8
7,2020-02-23,120.2,19.6,11.6,13.2
8,2020-03-01,8.6,2.1,1.0,4.8
9,2020-03-08,199.8,2.6,21.2,10.6
10,2020-03-15,66.1,5.8,24.2,8.6
11,2020-03-22,214.7,24.0,4.0,17.4
12,2020-03-29,23.8,35.1,65.9,9.2
13,2020-04-05,97.5,7.6,7.2,9.7
14,2020-04-12,204.1,32.9,46.0,19.0
15,2020-04-19,195.4,47.7,52.9,22.4
16,2020-04-26,67.8,36.6,114.0,12.5
17,2020-05-03,281.4,39.6,55.8,24.4
18,2020-05-10,69.2,20.5,18.3,11.3
19,2020-05-17,147.3,23.9,19.1,14.6
20,2020-05-24,218.4,27.7,53.4,18.0
21,2020-05-31,237.4,5.1,23.5,12.5
22,2020-06-07,13.2,15.9,49.6,5.6
23,2020-06-14,228.3,16.9,26.2,15.5
24,2020-06-21,62.3,12.6,18.3,9.7
25,2020-06-28,262.9,3.5,19.5,12.0
26,2020-07-05,142.9,29.3,12.6,15.0
27,2020-07-12,240.1,16.7,22.9,15.9
28,2020-07-19,248.8,27.1,22.9,18.9
29,2020-07-26,70.6,16.0,40.8,10.5
30,2020-08-02,292.9,28.3,43.2,21.4
31,2020-08-09,112.9,17.4,38.6,11.9
32,2020-08-16,97.2,1.5,30.0,9.6
33,2020-08-23,265.6,20.0,0.3,17.4
34,2020-08-30,95.7,1.4,7.4,9.5
35,2020-09-06,290.7,4.1,8.5,12.8
36,2020-09-13,266.9,43.8,5.0,25.4
37,2020-09-20,74.7,49.4,45.7,14.7
38,2020-09-27,43.1,26.7,35.1,10.1
39,2020-10-04,228.0,37.7,32.0,21.5
40,2020-10-11,202.5,22.3,31.6,16.6
41,2020-10-18,177.0,33.4,38.7,17.1
42,2020-10-25,293.6,27.7,1.8,20.7
43,2020-11-01,206.9,8.4,26.4,12.9
44,2020-11-08,25.1,25.7,43.3,8.5
45,2020-11-15,175.1,22.5,31.5,14.9
46,2020-11-22,89.7,9.9,35.7,10.6
47,2020-11-29,239.9,41.5,18.5,23.2
48,2020-12-06,227.2,15.8,49.9,14.8
49,2020-12-13,66.9,11.7,36.8,9.7
50,2020-12-20,199.8,3.1,34.6,11.4
51,2020-12-27,100.4,9.6,3.6,10.7
52,2021-01-03,216.4,41.7,39.6,22.6
53,2021-01-10,182.6,46.2,58.7,21.2
54,2021-01-17,262.7,28.8,15.9,20.2
55,2021-01-24,198.9,49.4,60.0,23.7
56,2021-01-31,7.3,28.1,41.4,5.5
57,2021-02-07,136.2,19.2,16.6,13.2
58,2021-02-14,210.8,49.6,37.7,23.8
59,2021-02-21,210.7,29.5,9.3,18.4
60,2021-02-28,53.5,2.0,21.4,8.1
61,2021-03-07,261.3,42.7,54.7,24.2
62,2021-03-14,239.3,15.5,27.3,15.7
63,2021-03-21,102.7,29.6,8.4,14.0
64,2021-03-28,131.1,42.8,28.9,18.0
65,2021-04-04,69.0,9.3,0.9,9.3
66,2021-04-11,31.5,24.6,2.2,9.5
67,2021-04-18,139.3,14.5,10.2,13.4
68,2021-04-25,237.4,27.5,11.0,18.9
69,2021-05-02,216.8,43.9,27.2,22.3
70,2021-05-09,199.1,30.6,38.7,18.3
71,2021-05-16,109.8,14.3,31.7,12.4
72,2021-05-23,26.8,33.0,19.3,8.8
73,2021-05-30,129.4,5.7,31.3,11.0
74,2021-06-06,213.4,24.6,13.1,17.0
75,2021-06-13,16.9,43.7,89.4,8.7
76,2021-06-20,27.5,1.6,20.7,6.9
77,2021-06-27,120.5,28.5,14.2,14.2
78,2021-07-04,5.4,29.9,9.4,5.3
79,2021-07-11,116.0,7.7,23.1,11.0
80,2021-07-18,76.4,26.7,22.3,11.8
81,2021-07-25,239.8,4.1,36.9,12.3
82,2021-08-01,75.3,20.3,32.5,11.3
83,2021-08-08,68.4,44.5,35.6,13.6
84,2021-08-15,213.5,43.0,33.8,21.7
85,2021-08-22,193.2,18.4,65.7,15.2
86,2021-08-29,76.3,27.5,16.0,12.0
87,2021-09-05,110.7,40.6,63.2,16.0
88,2021-09-12,88.3,25.5,73.4,12.9
89,2021-09-19,109.8,47.8,51.4,16.7
90,2021-09-26,134.3,4.9,9.3,11.2
91,2021-10-03,28.6,1.5,33.0,7.3
92,2021-10-10,217.7,33.5,59.0,19.4
93,2021-10-17,250.9,36.5,72.3,22.2
94,2021-10-24,107.4,14.0,10.9,11.5
95,2021-10-31,163.3,31.6,52.9,16.9
96,2021-11-07,197.6,3.5,5.9,11.7
97,2021-11-14,184.9,21.0,22.0,15.5
98,2021-11-21,289.7,42.3,51.2,25.4
99,2021-11-28,135.2,41.7,45.9,17.2
100,2021-12-05,222.4,4.3,49.8,11.7
101,2021-12-12,296.4,36.3,100.9,23.8
102,2021-12-19,280.2,10.1,21.4,14.8
103,2021-12-26,187.9,17.2,17.9,14.7
104,2022-01-02,238.2,34.3,5.3,20.7
105,2022-01-09,137.9,46.4,59.0,19.2
106,2022-01-16,25.0,11.0,29.7,7.2
107,2022-01-23,90.4,0.3,23.2,8.7
108,2022-01-30,13.1,0.4,25.6,5.3
109,2022-02-06,255.4,26.9,5.5,19.8
110,2022-02-13,225.8,8.2,56.5,13.4
111,2022-02-20,241.7,38.0,23.2,21.8
112,2022-02-27,175.7,15.4,2.4,14.1
113,2022-03-06,209.6,20.6,10.7,15.9
114,2022-03-13,78.2,46.8,34.5,14.6
115,2022-03-20,75.1,35.0,52.7,12.6
116,2022-03-27,139.2,14.3,25.6,12.2
117,2022-04-03,76.4,0.8,14.8,9.4
118,2022-04-10,125.7,36.9,79.2,15.9
119,2022-04-17,19.4,16.0,22.3,6.6
120,2022-04-24,141.3,26.8,46.2,15.5
121,2022-05-01,18.8,21.7,50.4,7.0
122,2022-05-08,224.0,2.4,15.6,11.6
123,2022-05-15,123.1,34.6,12.4,15.2
124,2022-05-22,229.5,32.3,74.2,19.7
125,2022-05-29,87.2,11.8,25.9,10.6
126,2022-06-05,7.8,38.9,50.6,6.6
127,2022-06-12,80.2,0.0,9.2,8.8
128,2022-06-19,220.3,49.0,3.2,24.7
129,2022-06-26,59.6,12.0,43.1,9.7
130,2022-07-03,0.7,39.6,8.7,1.6
131,2022-07-10,265.2,2.9,43.0,12.7
132,2022-07-17,8.4,27.2,2.1,5.7
133,2022-07-24,219.8,33.5,45.1,19.6
134,2022-07-31,36.9,38.6,65.6,10.8
135,2022-08-07,48.3,47.0,8.5,11.6
136,2022-08-14,25.6,39.0,9.3,9.5
137,2022-08-21,273.7,28.9,59.7,20.8
138,2022-08-28,43.0,25.9,20.5,9.6
139,2022-09-04,184.9,43.9,1.7,20.7
140,2022-09-11,73.4,17.0,12.9,10.9
141,2022-09-18,193.7,35.4,75.6,19.2
142,2022-09-25,220.5,33.2,37.9,20.1
143,2022-10-02,104.6,5.7,34.4,10.4
144,2022-10-09,96.2,14.8,38.9,11.4
145,2022-10-16,140.3,1.9,9.0,10.3
146,2022-10-23,240.1,7.3,8.7,13.2
147,2022-10-30,243.2,49.0,44.3,25.4
148,2022-11-06,38.0,40.3,11.9,10.9
149,2022-11-13,44.7,25.8,20.6,10.1
150,2022-11-20,280.7,13.9,37.0,16.1
151,2022-11-27,121.0,8.4,48.7,11.6
152,2022-12-04,197.6,23.3,14.2,16.6
153,2022-12-11,171.3,39.7,37.7,19.0
154,2022-12-18,187.8,21.1,9.5,15.6
155,2022-12-25,4.1,11.6,5.7,3.2
156,2023-01-01,93.9,43.5,50.5,15.3
157,2023-01-08,149.8,1.3,24.3,10.1
158,2023-01-15,11.7,36.9,45.2,7.3
159,2023-01-22,131.7,18.4,34.6,12.9
160,2023-01-29,172.5,18.1,30.7,14.4
161,2023-02-05,85.7,35.8,49.3,13.3
162,2023-02-12,188.4,18.1,25.6,14.9
163,2023-02-19,163.5,36.8,7.4,18.0
164,2023-02-26,117.2,14.7,5.4,11.9
165,2023-03-05,234.5,3.4,84.8,11.9
166,2023-03-12,17.9,37.6,21.6,8.0
167,2023-03-19,206.8,5.2,19.4,12.2
168,2023-03-26,215.4,23.6,57.6,17.1
169,2023-04-02,284.3,10.6,6.4,15.0
170,2023-04-09,50.0,11.6,18.4,8.4
171,2023-04-16,164.5,20.9,47.4,14.5
172,2023-04-23,19.6,20.1,17.0,7.6
173,2023-04-30,168.4,7.1,12.8,11.7
174,2023-05-07,222.4,3.4,13.1,11.5
175,2023-05-14,276.9,48.9,41.8,27.0
176,2023-05-21,248.4,30.2,20.3,20.2
177,2023-05-28,170.2,7.8,35.2,11.7
178,2023-06-04,276.7,2.3,23.7,11.8
179,2023-06-11,165.6,10.0,17.6,12.6
180,2023-06-18,156.6,2.6,8.3,10.5
181,2023-06-25,218.5,5.4,27.4,12.2
182,2023-07-02,56.2,5.7,29.7,8.7
183,2023-07-09,287.6,43.0,71.8,26.2
184,2023-07-16,253.8,21.3,30.0,17.6
185,2023-07-23,205.0,45.1,19.6,22.6
186,2023-07-30,139.5,2.1,26.6,10.3
187,2023-08-06,191.1,28.7,18.2,17.3
188,2023-08-13,286.0,13.9,3.7,15.9
189,2023-08-20,18.7,12.1,23.4,6.7
190,2023-08-27,39.5,41.1,5.8,10.8
191,2023-09-03,75.5,10.8,6.0,9.9
192,2023-09-10,17.2,4.1,31.6,5.9
193,2023-09-17,166.8,42.0,3.6,19.6
194,2023-09-24,149.7,35.6,6.0,17.3
195,2023-10-01,38.2,3.7,13.8,7.6
196,2023-10-08,94.2,4.9,8.1,9.7
197,2023-10-15,177.0,9.3,6.4,12.8
198,2023-10-22,283.6,42.0,66.2,25.5
199,2023-10-29,232.1,8.6,8.7,13.4
